"var1","var2","qv1","qv2","qv12","interaction"
"1","X1","X2",0.446846660052193,0.521649411035789,0.542813757754068,"Enhance, bi-"
"2","X1","X3",0.446846660052193,0.0775923400683921,0.55608192697391,"Enhance, nonlinear"
"3","X1","X4",0.446846660052193,0.314170438023508,0.485167090394482,"Enhance, bi-"
"4","X1","X5",0.446846660052193,0.484841753607439,0.603414242202864,"Enhance, bi-"
"5","X1","X6",0.446846660052193,0.081877050126626,0.540308262090768,"Enhance, nonlinear"
"6","X1","X7",0.446846660052193,0.565218720421208,0.63475449089178,"Enhance, bi-"
"7","X1","X8",0.446846660052193,0.0271001882087983,0.475261978441951,"Enhance, nonlinear"
"8","X1","X9",0.446846660052193,0.429101279657863,0.557609040459069,"Enhance, bi-"
"9","X1","X10",0.446846660052193,0.274722132215506,0.500682846498486,"Enhance, bi-"
"10","X1","X11",0.446846660052193,0.0699794081758722,0.466954150028665,"Enhance, bi-"
"11","X1","X12",0.446846660052193,0.131616892513752,0.484983495274056,"Enhance, bi-"
"12","X1","X13",0.446846660052193,0.131649544450514,0.48666978942262,"Enhance, bi-"
"13","X1","X14",0.446846660052193,0.105698584646191,0.463035733489113,"Enhance, bi-"
"14","X2","X3",0.521649411035789,0.0775923400683921,0.558361113236897,"Enhance, bi-"
"15","X2","X4",0.521649411035789,0.314170438023508,0.551624348529129,"Enhance, bi-"
"16","X2","X5",0.521649411035789,0.484841753607439,0.616419825379715,"Enhance, bi-"
"17","X2","X6",0.521649411035789,0.081877050126626,0.600452977781,"Enhance, bi-"
"18","X2","X7",0.521649411035789,0.565218720421208,0.642620303319207,"Enhance, bi-"
"19","X2","X8",0.521649411035789,0.0271001882087983,0.551682723784731,"Enhance, nonlinear"
"20","X2","X9",0.521649411035789,0.429101279657863,0.601827195302633,"Enhance, bi-"
"21","X2","X10",0.521649411035789,0.274722132215506,0.56337841225896,"Enhance, bi-"
"22","X2","X11",0.521649411035789,0.0699794081758722,0.533387969971976,"Enhance, bi-"
"23","X2","X12",0.521649411035789,0.131616892513752,0.549974651497836,"Enhance, bi-"
"24","X2","X13",0.521649411035789,0.131649544450514,0.55353207325592,"Enhance, bi-"
"25","X2","X14",0.521649411035789,0.105698584646191,0.550757785209743,"Enhance, bi-"
"26","X3","X4",0.0775923400683921,0.314170438023508,0.499176733258006,"Enhance, nonlinear"
"27","X3","X5",0.0775923400683921,0.484841753607439,0.547962292017523,"Enhance, bi-"
"28","X3","X6",0.0775923400683921,0.081877050126626,0.151386607362442,"Enhance, bi-"
"29","X3","X7",0.0775923400683921,0.565218720421208,0.575319962818139,"Enhance, bi-"
"30","X3","X8",0.0775923400683921,0.0271001882087983,0.106122666496162,"Enhance, nonlinear"
"31","X3","X9",0.0775923400683921,0.429101279657863,0.48565021340049,"Enhance, bi-"
"32","X3","X10",0.0775923400683921,0.274722132215506,0.343740454048051,"Enhance, bi-"
"33","X3","X11",0.0775923400683921,0.0699794081758722,0.167131028161697,"Enhance, nonlinear"
"34","X3","X12",0.0775923400683921,0.131616892513752,0.210686091505493,"Enhance, nonlinear"
"35","X3","X13",0.0775923400683921,0.131649544450514,0.218660225429614,"Enhance, nonlinear"
"36","X3","X14",0.0775923400683921,0.105698584646191,0.179747940210782,"Enhance, bi-"
"37","X4","X5",0.314170438023508,0.484841753607439,0.56493371294998,"Enhance, bi-"
"38","X4","X6",0.314170438023508,0.081877050126626,0.353422731931129,"Enhance, bi-"
"39","X4","X7",0.314170438023508,0.565218720421208,0.605169806737786,"Enhance, bi-"
"40","X4","X8",0.314170438023508,0.0271001882087983,0.334669740176508,"Enhance, bi-"
"41","X4","X9",0.314170438023508,0.429101279657863,0.495268731575181,"Enhance, bi-"
"42","X4","X10",0.314170438023508,0.274722132215506,0.461263253682784,"Enhance, bi-"
"43","X4","X11",0.314170438023508,0.0699794081758722,0.343669820089751,"Enhance, bi-"
"44","X4","X12",0.314170438023508,0.131616892513752,0.364368741696385,"Enhance, bi-"
"45","X4","X13",0.314170438023508,0.131649544450514,0.371904608187996,"Enhance, bi-"
"46","X4","X14",0.314170438023508,0.105698584646191,0.351202236909638,"Enhance, bi-"
"47","X5","X6",0.484841753607439,0.081877050126626,0.548602512653418,"Enhance, bi-"
"48","X5","X7",0.484841753607439,0.565218720421208,0.635341381445709,"Enhance, bi-"
"49","X5","X8",0.484841753607439,0.0271001882087983,0.505573962185415,"Enhance, bi-"
"50","X5","X9",0.484841753607439,0.429101279657863,0.539796940475379,"Enhance, bi-"
"51","X5","X10",0.484841753607439,0.274722132215506,0.545317460082013,"Enhance, bi-"
"52","X5","X11",0.484841753607439,0.0699794081758722,0.492453068098195,"Enhance, bi-"
"53","X5","X12",0.484841753607439,0.131616892513752,0.502125198977425,"Enhance, bi-"
"54","X5","X13",0.484841753607439,0.131649544450514,0.501138068205971,"Enhance, bi-"
"55","X5","X14",0.484841753607439,0.105698584646191,0.532319203163752,"Enhance, bi-"
"56","X6","X7",0.081877050126626,0.565218720421208,0.589602546018305,"Enhance, bi-"
"57","X6","X8",0.081877050126626,0.0271001882087983,0.129544318246769,"Enhance, nonlinear"
"58","X6","X9",0.081877050126626,0.429101279657863,0.542667974000041,"Enhance, nonlinear"
"59","X6","X10",0.081877050126626,0.274722132215506,0.41280741405115,"Enhance, nonlinear"
"60","X6","X11",0.081877050126626,0.0699794081758722,0.155571612381753,"Enhance, nonlinear"
"61","X6","X12",0.081877050126626,0.131616892513752,0.219476361195095,"Enhance, nonlinear"
"62","X6","X13",0.081877050126626,0.131649544450514,0.232392927680178,"Enhance, nonlinear"
"63","X6","X14",0.081877050126626,0.105698584646191,0.148632624261204,"Enhance, bi-"
"64","X7","X8",0.565218720421208,0.0271001882087983,0.595258403462163,"Enhance, nonlinear"
"65","X7","X9",0.565218720421208,0.429101279657863,0.635463108850467,"Enhance, bi-"
"66","X7","X10",0.565218720421208,0.274722132215506,0.605343596824643,"Enhance, bi-"
"67","X7","X11",0.565218720421208,0.0699794081758722,0.575828864128389,"Enhance, bi-"
"68","X7","X12",0.565218720421208,0.131616892513752,0.591005282346248,"Enhance, bi-"
"69","X7","X13",0.565218720421208,0.131649544450514,0.589543591627182,"Enhance, bi-"
"70","X7","X14",0.565218720421208,0.105698584646191,0.574470455223159,"Enhance, bi-"
"71","X8","X9",0.0271001882087983,0.429101279657863,0.455123470582802,"Enhance, bi-"
"72","X8","X10",0.0271001882087983,0.274722132215506,0.296651588496226,"Enhance, bi-"
"73","X8","X11",0.0271001882087983,0.0699794081758722,0.0887056549693263,"Enhance, bi-"
"74","X8","X12",0.0271001882087983,0.131616892513752,0.151399245971992,"Enhance, bi-"
"75","X8","X13",0.0271001882087983,0.131649544450514,0.152740490726852,"Enhance, bi-"
"76","X8","X14",0.0271001882087983,0.105698584646191,0.138733288696868,"Enhance, nonlinear"
"77","X9","X10",0.429101279657863,0.274722132215506,0.48070198401816,"Enhance, bi-"
"78","X9","X11",0.429101279657863,0.0699794081758722,0.439613632801417,"Enhance, bi-"
"79","X9","X12",0.429101279657863,0.131616892513752,0.44431126782062,"Enhance, bi-"
"80","X9","X13",0.429101279657863,0.131649544450514,0.456238056038337,"Enhance, bi-"
"81","X9","X14",0.429101279657863,0.105698584646191,0.507041141248822,"Enhance, bi-"
"82","X10","X11",0.274722132215506,0.0699794081758722,0.311758369809888,"Enhance, bi-"
"83","X10","X12",0.274722132215506,0.131616892513752,0.324981253638014,"Enhance, bi-"
"84","X10","X13",0.274722132215506,0.131649544450514,0.327690602047862,"Enhance, bi-"
"85","X10","X14",0.274722132215506,0.105698584646191,0.357879118285226,"Enhance, bi-"
"86","X11","X12",0.0699794081758722,0.131616892513752,0.18010755986973,"Enhance, bi-"
"87","X11","X13",0.0699794081758722,0.131649544450514,0.158918933627614,"Enhance, bi-"
"88","X11","X14",0.0699794081758722,0.105698584646191,0.182448115889688,"Enhance, nonlinear"
"89","X12","X13",0.131616892513752,0.131649544450514,0.223954436623941,"Enhance, bi-"
"90","X12","X14",0.131616892513752,0.105698584646191,0.217409777327369,"Enhance, bi-"
"91","X13","X14",0.131649544450514,0.105698584646191,0.235465885752486,"Enhance, bi-"
